,TituloNacional,Titulo,Distribuidor,Estreia,Origem,Genero,ClassificacaoEtaria,Salas_na_Estreia,RENDA,PUBLICO
181,Crimes obscuros,True crimes,Cinecolor,2/28/2019,Reino Unido/Polônia/EUA,Thriller,18,59,"334.663,08",21.256
182,A costureira de sonhos,Sir,Imovision,5/23/2019,Índia/França,Drama,10,12,"330.861,40",18.968
183,Vidas duplas,Doubles vies,California,4/18/2019,França,Drama,14,34,"327.717,44",18.170
184,Cézanne e eu,Cézanne et moi,Bretz Filmes,7/4/2019,França,Biografia,14,6,"325.700,80",18.333
185,Um ato de esperança,The children act,A2 Filmes,3/21/2019,EUA/ Inglaterra,Drama,12,27,"295.292,79",17.446
186,Minha obra-prima,Mi obra-maestra,Arteplex Filmes,3/28/2019,Argentina,Comédia,14,18,"287.281,31",16.421
187,A revolução em Paris,Un peuple et son roi,Bonfilm,11/28/2019,França/ Belgica,Drama,16,85,"285.334,21",18.597
188,Se a rua Beale falasse,If Beale street could talk,Sony,2/7/2019,EUA,Drama,14,6,"284.984,87",19.470
189,Adam,Adam,Arteplex Filmes,11/14/2019,França / Marrocos,Drama,12,16,"281.415,04",15.528
190,Link perdido,Missing link,Disney,11/7/2019,Canadá / EUA,Animação,10,285,"276.575,43",19.742
191,Entardecer,Napszállta,California,5/2/2019,Hungria/França,Drama,14,15,"273.764,87",15.033
192,Não olhe,Look away,Paris,2/28/2019,EUA,Suspense,16,60,"266.630,61",14.430
193,Querido menino,Beautiful boy,Diamond Films,2/21/2019,EUA,Drama,14,73,"255.177,86",14.933
194,Segredos oficiais,Official secrets,Diamond Films,10/31/2019,Inglaterra/EUA,Biografia,12,48,"253.185,41",14.080
195,Graças a Deus,Grâce à Dieu,California,6/20/2019,França/ Belgica,Drama,14,28,"251.759,58",15.803
196,Tudo o que tivemos,What they had,Diamond Films,5/2/2019,EUA,Drama,12,54,"249.507,27",13.603
197,O sol também é uma estrela,The sun is also a star,Warner,5/16/2019,EUA,Drama,12,107,"247.813,70",14.125
198,As rainhas da torcida,Poms,Diamond Films,8/1/2019,Inglaterra/EUA,Comédia,12,73,"243.674,26",13.304
199,O paraíso deve ser aqui,It must be heaven,Imovision,12/19/2019,França / Catar,Drama,12,17,"238.775,01",12.159
200,Brooklyn - Sem pai nem mãe,Motherless Brooklyn,Warner,12/5/2019,EUA,Drama,16,23,"236.004,46",10.485
201,O mistério de Henri Pick,Le mystére Henri Pick,A2 Filmes,7/25/2019,França/ Belgica,Comédia,14,24,"233.261,15",14.834
202,Deslembro,Deslembro,Imovision,6/20/2019,Brasil,Drama,14,20,"229.236,22",14.261
203,A pé ele não vai longe,"Don't worry, he won't get far on foot",Diamond Films,12/27/2018,EUA,Comédia,14,40,"222.074,14",12.335
204,O médico indiano,The doctor from India,Distribuição Própria,2/7/2019,EUA,Documentário,Livre,6,"219.040,27",12.661
205,Fevereiros,Fevereiros,Art House Movies,1/31/2019,Brasil,Documentário,Livre,15,"216.862,06",14.744
206,Um amor impossível,Un amour impossible,A2 Filmes,8/22/2019,França/ Belgica,Romance,16,29,"213.010,53",11.752
