,,,,,,,ACUMULADO,
título em português,título original,distribuidora,Renda 2017 (R$), Público 2017,Salas Abertura,Estreia, renda (R$),público
Missão cegonha,Richard the stork,Playarte,  944.759 ,  71.162 ,196,26/10/17,944.759,71.162
A qualquer custo,Hell or High Water,California,  935.254 ,  54.016 ,53,2/2/17,935.254,54.016
Entre irmãs,Entre irmãs,Sony,  930.632 ,  58.194 ,99,12/10/17,930.632,58.194
T2 Trainspotting,T2 Trainspotting,Sony,  858.082 ,  47.927 ,33,23/3/17,858.082,47.927
Paixão obsessiva,Unforgettable,Warner,  856.541 ,  53.216 ,123,20/4/17,856.541,53.216
O sequestro,Kidnap,H2O Films,  853.591 ,  62.845 ,201,21/9/17,853.591,62.845
O estado das coisas,Brad's status,Imagem,  807.821 ,  40.859 ,70,2/11/17,807.821,40.859
Perdidos em Paris,Paris Pieds Nus,Pandora,  804.511 ,  55.456 ,27,6/7/17,804.511,55.456
De volta para casa,Home Again,H2O Films,  800.871 ,  48.257 ,138,19/10/17,800.871,48.257
Real - O plano por trás da história,Real - O plano por trás da história,DTF/Paris,  793.480 ,  46.952 ,210,25/5/17,793.480,46.952
Os meninos que enganavam nazistas,Un sac de billes,Paris,  770.641 ,  43.438 ,36,3/8/17,770.641,43.438
Os guardiões,Zashchitniki,Paris,  769.517 ,  58.119 ,131,31/8/17,769.517,58.119
A lei da noite,Live by Night,Warner,  769.402 ,  44.420 ,93,23/2/17,769.402,44.420
Terra selvagem,Wind river,California,  767.847 ,  40.153 ,57,2/11/17,767.847,40.153
Roda gigante,Wonder wheel,Imagem,  738.679 ,  36.973 ,121,28/12/17,738.679,36.973
Paterson,Paterson,Fênix Filmes,  730.634 ,  44.092 ,23,20/4/17,730.634,44.092
Versões de um crime,The whole truth,Playarte,  723.645 ,  47.669 ,78,9/3/17,723.645,47.669
Pokemon - o filme: eu escolho você,Pokemon,Independente,  721.498 ,  43.286 ,0,15/7/17,721.498,43.286
A chegada,Arrival,Sony,  709.254 ,  33.499 ,303,24/11/16,9.664.549,585.873
Mark Felt - O homem que derrubou a Casa Branca,Mark Felt,Diamond Films,  695.817 ,  32.520 ,42,26/10/17,695.817,32.520
Max Steel,Max Steel,Imagem,  681.964 ,  52.108 ,175,26/1/17,681.964,52.108
Churchill,Churchill,California,  663.468 ,  33.226 ,22,5/10/17,663.468,33.226
A comédia divina,"Comédia divina, A",Imagem,  653.617 ,  46.988 ,135,19/10/17,653.617,46.988
Gabriel e a montanha,Gabriel e a montanha,Bretz Filmes,  649.137 ,  39.234 ,79,2/11/17,649.137,39.234
Animais fantásticos e onde habitam,Fantastic Beasts and Where to Find Them,Warner,  647.079 ,  44.551 ,1.425,17/11/16,66.287.657,4.379.836
Dona Flor e seus dois maridos,Dona Flor e seus dois maridos,DTF/Paris,  645.139 ,  47.167 ,44,2/11/17,645.139,47.167
Tinha que ser ele?,Why him?,Fox,  614.959 ,  44.227 ,118,16/3/17,614.959,44.227
A menina índigo,"Menina índigo, A",Film Connection,  606.097 ,  43.552 ,42,12/10/17,606.097,43.552
Z - A cidade perdida,The Lost City of Z,Imagem,  595.042 ,  36.770 ,134,1/6/17,595.042,36.770
